cluster_id,lat,lon
0,40.744239208803315,-74.00392745653845
1,40.77351290078823,-73.87366801200753
2,40.762947837732156,-73.97462540323541
3,40.64588758725846,-73.78431955384028
4,40.72320289578551,-73.99698437173468
5,40.77005763157131,-73.9533478040324
6,40.678406523805265,-73.95099061452645
7,40.78771819725289,-73.97374489920554
8,40.78189095645613,-73.95220361409548
9,40.74259494205129,-73.98445110287224
10,40.75592775040796,-73.97868021855983
11,40.84328323859086,-73.93190013503292
12,40.708393155773976,-74.01165646133305
13,40.75758177394137,-73.9132297451439
14,40.756287353224884,-73.98803472942413
15,40.75631805855601,-73.96969597576704
16,40.713639869634534,-73.95169542806602
17,40.76386329240051,-73.96445126303384
18,40.73276630851671,-73.98943274583905
19,40.80790551222324,-73.94683620851664
20,40.78029725610962,-73.98003455165167
21,40.68690383251688,-73.98678521146705
22,40.738959406006046,-73.99499089459877
23,40.71861960641678,-74.00793353229886
24,40.711833109119105,-73.831798240222
